stage,rider,rider_url,km_first_group,km_before_peloton
15,VINOKUROV Nicolas,https://www.procyclingstats.com/rider/nicolas-vinokurov,53.0,67.0
15,COSTIOU Ewen,https://www.procyclingstats.com/rider/ewen-costiou,49.0,107.0
15,VAN WILDER Ilan,https://www.procyclingstats.com/rider/ilan-van-wilder,47.0,97.0
15,FRIGO Marco,https://www.procyclingstats.com/rider/marco-frigo,46.0,58.0
15,MOHORIČ Matej,https://www.procyclingstats.com/rider/matej-mohoric,44.0,56.0
15,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,43.0,97.0
15,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,43.0,97.0
15,PARET-PEINTRE Aurélien,https://www.procyclingstats.com/rider/aurelien-paret-peintre,43.0,92.0
15,MARTIN Guillaume,https://www.procyclingstats.com/rider/guillaume-martin,43.0,60.0
15,CAMPENAERTS Victor,https://www.procyclingstats.com/rider/victor-campenaerts,43.0,59.0
15,DELETTRE Alexandre,https://www.procyclingstats.com/rider/alexandre-delettre,43.0,54.0
15,ARMIRAIL Bruno,https://www.procyclingstats.com/rider/bruno-armirail,42.0,59.0
15,BERNAL Egan,https://www.procyclingstats.com/rider/egan-bernal,42.0,54.0
15,HEALY Ben,https://www.procyclingstats.com/rider/ben-healy,42.0,51.0
15,VAN MOER Brent,https://www.procyclingstats.com/rider/brent-van-moer,42.0,51.0
15,AZPARREN Xabier Mikel,https://www.procyclingstats.com/rider/xabier-mikel-azparren-irurzun,42.0,42.0
15,ARENSMAN Thymen,https://www.procyclingstats.com/rider/thymen-arensman,40.0,40.0
15,BALDERSTONE Abel,https://www.procyclingstats.com/rider/abel-balderstone-roumens,36.0,47.0
15,OLIVEIRA Nelson,https://www.procyclingstats.com/rider/nelson-oliveira,23.0,25.0
15,SKAARSETH Anders,https://www.procyclingstats.com/rider/anders-skaarseth,23.0,24.0
15,MATTHEWS Michael,https://www.procyclingstats.com/rider/michael-matthews,23.0,24.0
15,IZAGIRRE Ion,https://www.procyclingstats.com/rider/ion-izagirre,22.0,22.0
15,JOHANNESSEN Tobias Halland,https://www.procyclingstats.com/rider/tobias-halland-johannessen,18.0,18.0
15,PARET-PEINTRE Valentin,https://www.procyclingstats.com/rider/valentin-paret-peintre,1.0,5.0
17,STUYVEN Jasper,https://www.procyclingstats.com/rider/jasper-stuyven,111.0,112.0
17,ENGELHARDT Felix,https://www.procyclingstats.com/rider/felix-engelhardt,89.0,111.0
17,SIMMONS Quinn,https://www.procyclingstats.com/rider/quinn-simmons,65.0,112.0
17,BERNAL Egan,https://www.procyclingstats.com/rider/egan-bernal,58.0,113.0
17,TARLING Joshua,https://www.procyclingstats.com/rider/joshua-tarling,58.0,112.0
17,VAN DER POEL Mathieu,https://www.procyclingstats.com/rider/mathieu-van-der-poel,58.0,112.0
17,MOHORIČ Matej,https://www.procyclingstats.com/rider/matej-mohoric,57.0,112.0
17,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,57.0,112.0
17,CASTRILLO Pablo,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,57.0,62.0
17,MARTIN Guillaume,https://www.procyclingstats.com/rider/guillaume-martin,56.0,111.0
17,BRAZ AFONSO Clément,https://www.procyclingstats.com/rider/clement-braz-afonso,56.0,111.0
17,BENOOT Tiesj,https://www.procyclingstats.com/rider/tiesj-benoot,55.0,110.0
17,HAGENES Per Strand,https://www.procyclingstats.com/rider/per-strand-hagenes,53.0,108.0
