stage,rank,status,gc_position,gc_timelag_seconds,bib,specialty,age,nationality_code,rider,rider_url,team,uci_points,pcs_points,time_raw,stage_gap_seconds,elapsed_seconds
7,161,finished,168,4327,172,Classic,30,IT,Ballerini Davide,https://www.procyclingstats.com/rider/davide-ballerini,XDS Astana Team,,,",,",896,15635
7,162,finished,135,3616,68,Hills,23,GB,Watson Samuel,https://www.procyclingstats.com/rider/samuel-watson,INEOS Grenadiers,,,",,",896,15635
7,163,finished,146,3921,92,Classic,24,GB,Askey Lewis,https://www.procyclingstats.com/rider/lewis-askey,Groupama - FDJ,,,",,",896,15635
7,164,finished,92,2439,37,Classic,33,DK,Valgren Michael,https://www.procyclingstats.com/rider/michael-valgren-andersen,EF Education - EasyPost,,,",,",896,15635
7,165,finished,127,3208,167,TT,29,FR,Thomas Benjamin,https://www.procyclingstats.com/rider/benjamin-thomas-2,Cofidis,,,",,",896,15635
7,166,finished,147,3966,224,Sprint,22,NO,Edvardsen-Fredheim Stian,https://www.procyclingstats.com/rider/stian-fredheim,Uno-X Mobility,,,16:56,1016,15755
7,167,finished,139,3742,112,Sprint,27,IT,Dainese Alberto,https://www.procyclingstats.com/rider/alberto-dainese,Tudor Pro Cycling Team,,,",,",1016,15755
7,168,finished,175,4594,47,GC,24,NL,van Sintmaartensdijk Roel,https://www.procyclingstats.com/rider/roel-van-sintmaartensdijk,Intermarché - Wanty,,,17:23,1043,15782
7,169,finished,149,3987,44,Classic,23,FR,Page Hugo,https://www.procyclingstats.com/rider/hugo-page,Intermarché - Wanty,,,",,",1043,15782
7,170,finished,152,4014,41,Classic,25,ER,Girmay Biniam,https://www.procyclingstats.com/rider/biniam-girmay,Intermarché - Wanty,,,",,",1043,15782
7,171,finished,99,2594,113,Classic,34,AT,Haller Marco,https://www.procyclingstats.com/rider/marco-haller,Tudor Pro Cycling Team,,,",,",1043,15782
7,172,finished,143,3814,228,Classic,25,NO,Wærenskjold Søren,https://www.procyclingstats.com/rider/soren-waerenskjold,Uno-X Mobility,,,",,",1043,15782
7,173,finished,172,4519,73,Classic,27,BE,Meeus Jordi,https://www.procyclingstats.com/rider/jordi-meeus,Red Bull - BORA - hansgrohe,,,",,",1043,15782
7,174,finished,153,4016,81,Sprint,24,IT,Milan Jonathan,https://www.procyclingstats.com/rider/jonathan-milan,Lidl - Trek,,,",,",1043,15782
7,175,finished,171,4500,211,Classic,23,BE,De Lie Arnaud,https://www.procyclingstats.com/rider/arnaud-de-lie,Lotto,,,17:34,1054,15793
7,176,finished,170,4407,82,Classic,30,IT,Consonni Simone,https://www.procyclingstats.com/rider/simone-consonni,Lidl - Trek,,,17:40,1060,15799
7,177,finished,173,4535,88,Classic,34,BE,Theuns Edward,https://www.procyclingstats.com/rider/edward-theuns,Lidl - Trek,,,",,",1060,15799
7,,DNF,,,22,TT,34,IT,Cattaneo Mattia,https://www.procyclingstats.com/rider/mattia-cattaneo,Soudal Quick-Step,,,,,
7,,DNF,,,54,GC,31,AU,Haig Jack,https://www.procyclingstats.com/rider/jack-haig,Bahrain - Victorious,,,,,
8,1,finished,149,4016,81,Sprint,24,IT,Milan Jonathan,https://www.procyclingstats.com/rider/jonathan-milan,Lidl - Trek,210.0,100.0,3:50:26,0,13826
8,2,finished,53,1590,17,Classic,30,BE,van Aert Wout,https://www.procyclingstats.com/rider/wout-van-aert,Team Visma | Lease a Bike,150.0,70.0,",,",0,13826
8,3,finished,103,2785,103,Hills,26,AU,Groves Kaden,https://www.procyclingstats.com/rider/kaden-groves,Alpecin - Deceuninck,110.0,50.0,",,",0,13826
8,4,finished,128,3565,202,Sprint,31,DE,Ackermann Pascal,https://www.procyclingstats.com/rider/pascal-ackermann,Israel - Premier Tech,90.0,40.0,",,",0,13826
8,5,finished,168,4500,211,Classic,23,BE,De Lie Arnaud,https://www.procyclingstats.com/rider/arnaud-de-lie,Lotto,70.0,32.0,",,",0,13826
8,6,finished,62,1806,195,Classic,22,DK,Andresen Tobias Lund,https://www.procyclingstats.com/rider/tobias-lund-andresen,Team Picnic PostNL,55.0,26.0,",,",0,13826
8,7,finished,97,2737,163,Sprint,33,FR,Coquard Bryan,https://www.procyclingstats.com/rider/bryan-coquard,Cofidis,45.0,22.0,",,",0,13826
8,8,finished,137,3742,112,Sprint,27,IT,Dainese Alberto,https://www.procyclingstats.com/rider/alberto-dainese,Tudor Pro Cycling Team,40.0,18.0,",,",0,13826
8,9,finished,112,3028,32,Hills,28,IT,Albanese Vincenzo,https://www.procyclingstats.com/rider/vincenzo-albanese,EF Education - EasyPost,35.0,14.0,",,",0,13826
8,10,finished,146,3966,224,Sprint,22,NO,Edvardsen-Fredheim Stian,https://www.procyclingstats.com/rider/stian-fredheim,Uno-X Mobility,30.0,10.0,",,",0,13826
8,11,finished,129,3583,77,Sprint,31,NL,van Poppel Danny,https://www.procyclingstats.com/rider/danny-van-poppel,Red Bull - BORA - hansgrohe,25.0,8.0,",,",0,13826
8,12,finished,160,4243,52,Sprint,31,DE,Bauhaus Phil,https://www.procyclingstats.com/rider/phil-bauhaus,Bahrain - Victorious,20.0,6.0,",,",0,13826
8,13,finished,145,3921,92,Classic,24,GB,Askey Lewis,https://www.procyclingstats.com/rider/lewis-askey,Groupama - FDJ,15.0,4.0,",,",0,13826
8,14,finished,66,1836,158,Classic,23,FR,Tronchon Bastien,https://www.procyclingstats.com/rider/bastien-tronchon,Decathlon AG2R La Mondiale Team,10.0,2.0,",,",0,13826
8,15,finished,131,3616,68,Hills,23,GB,Watson Samuel,https://www.procyclingstats.com/rider/samuel-watson,INEOS Grenadiers,5.0,1.0,",,",0,13826
8,16,finished,152,4071,124,Sprint,32,NL,Groenewegen Dylan,https://www.procyclingstats.com/rider/dylan-groenewegen,Team Jayco AlUla,,,",,",0,13826
8,17,finished,116,3051,187,Classic,31,FR,Turgis Anthony,https://www.procyclingstats.com/rider/anthony-turgis,TotalEnergies,,,",,",0,13826
8,18,finished,158,4212,173,Sprint,29,NL,Bol Cees,https://www.procyclingstats.com/rider/cees-bol,XDS Astana Team,,,",,",0,13826
8,19,finished,148,4014,41,Classic,25,ER,Girmay Biniam,https://www.procyclingstats.com/rider/biniam-girmay,Intermarché - Wanty,,,",,",0,13826
8,20,finished,156,4190,134,Classic,33,FR,Démare Arnaud,https://www.procyclingstats.com/rider/arnaud-demare,Arkéa - B&B Hotels,,,",,",0,13826
8,21,finished,5,89,106,Classic,30,NL,van der Poel Mathieu,https://www.procyclingstats.com/rider/mathieu-van-der-poel,Alpecin - Deceuninck,,,",,",0,13826
8,22,finished,147,4007,165,Classic,26,FR,Renard Alexis,https://www.procyclingstats.com/rider/alexis-renard,Cofidis,,,",,",0,13826
